time_s,err_KF,err_EKF,err_PF
16.660,0.5666,0.3249,0.1282
16.680,0.5565,0.3431,0.1283
16.700,0.5525,0.3454,0.1283
16.720,0.5609,0.3421,0.1283
16.740,0.5682,0.3399,0.1283
16.760,0.5671,0.3466,0.1284
16.780,0.5667,0.3444,0.1285
16.800,0.5851,0.3455,0.1284
16.820,0.5818,0.3504,0.1283
16.840,0.5810,0.3508,0.1283
16.860,0.5853,0.3571,0.1283
16.880,0.5862,0.3521,0.1283
16.900,0.5881,0.3557,0.1284
16.920,0.5882,0.3477,0.1284
16.940,0.5971,0.3461,0.1284
16.960,0.6174,0.3436,0.1286
16.980,0.6125,0.3476,0.1286
17.000,0.6009,0.3403,0.1285
17.020,0.6037,0.3505,0.1284
17.040,0.6120,0.3532,0.1285
17.060,0.6100,0.3494,0.1286
17.080,0.6152,0.3513,0.1286
17.100,0.6118,0.3438,0.1285
17.120,0.6009,0.3471,0.1285
17.140,0.5867,0.3505,0.1284
17.160,0.5961,0.3435,0.1284
17.180,0.5984,0.3421,0.1285
17.200,0.5926,0.3487,0.1284
17.220,0.6024,0.3529,0.1285
17.240,0.5982,0.3600,0.1285
17.260,0.6064,0.3492,0.1284
17.280,0.6078,0.3477,0.1284
17.300,0.6164,0.3502,0.1284
17.320,0.6220,0.3511,0.1285
17.340,0.6186,0.3567,0.1285
17.360,0.6156,0.3689,0.1285
17.380,0.6165,0.3793,0.1288
17.400,0.6165,0.3714,0.1289
17.420,0.6334,0.3643,0.1290
17.440,0.6415,0.3691,0.1291
17.460,0.6493,0.3683,0.1291
17.480,0.6610,0.3706,0.1294
17.500,0.6530,0.3719,0.1294
17.520,0.6443,0.3803,0.1295
17.540,0.6435,0.3649,0.1294
17.560,0.6487,0.3620,0.1296
17.580,0.6592,0.3687,0.1296
17.600,0.6628,0.3642,0.1297
17.620,0.6566,0.3577,0.1299
17.640,0.6579,0.3516,0.1298
17.660,0.6576,0.3465,0.1300
17.680,0.6619,0.3474,0.1302
17.700,0.6636,0.3503,0.1303
17.720,0.6599,0.3597,0.1305
17.740,0.6617,0.3678,0.1306
17.760,0.6622,0.3574,0.1307
17.780,0.6721,0.3553,0.1309
17.800,0.6735,0.3530,0.1308
17.820,0.6795,0.3536,0.1310
17.840,0.6806,0.3566,0.1311
17.860,0.6824,0.3553,0.1312
17.880,0.6810,0.3631,0.1312
17.900,0.6807,0.3678,0.1313
17.920,0.6788,0.3572,0.1314
17.940,0.6762,0.3498,0.1314
17.960,0.6825,0.3514,0.1314
17.980,0.6871,0.3598,0.1314
18.000,0.6848,0.3611,0.1315
18.020,0.7008,0.3614,0.1317
18.040,0.6946,0.3661,0.1318
18.060,0.6920,0.3644,0.1319
18.080,0.6927,0.3615,0.1319
18.100,0.6846,0.3686,0.1319
18.120,0.6760,0.3830,0.1321
18.140,0.6732,0.3856,0.1323
18.160,0.6917,0.3920,0.1324
18.180,0.6848,0.3900,0.1323
18.200,0.6905,0.3782,0.1324
18.220,0.6989,0.3611,0.1325
18.240,0.7035,0.3512,0.1328
18.260,0.7147,0.3699,0.1329
18.280,0.7208,0.3690,0.1331
18.300,0.7170,0.3750,0.1333
18.320,0.7151,0.3820,0.1334
18.340,0.7269,0.3805,0.1335
18.360,0.7286,0.3867,0.1336
18.380,0.7421,0.3861,0.1339
18.400,0.7375,0.3828,0.1340
18.420,0.7414,0.3858,0.1343
18.440,0.7554,0.3917,0.1343
18.460,0.7479,0.3822,0.1344
18.480,0.7521,0.3744,0.1346
18.500,0.7527,0.3650,0.1349
18.520,0.7518,0.3906,0.1349
18.540,0.7410,0.4107,0.1351
18.560,0.7536,0.4087,0.1354
18.580,0.7460,0.3951,0.1357
18.600,0.7501,0.3897,0.1359
18.620,0.7555,0.3948,0.1359
18.640,0.7560,0.3924,0.1361
18.660,0.7603,0.3905,0.1362
18.680,0.7685,0.4014,0.1363
18.700,0.7671,0.3965,0.1365
18.720,0.7657,0.3971,0.1368
18.740,0.7730,0.3967,0.1369
18.760,0.7663,0.3987,0.1371
18.780,0.7710,0.3926,0.1373
18.800,0.7792,0.3899,0.1374
18.820,0.7923,0.3915,0.1377
18.840,0.7866,0.3996,0.1379
18.860,0.7680,0.3811,0.1382
18.880,0.7719,0.3692,0.1383
18.900,0.7719,0.3498,0.1385
18.920,0.7656,0.3351,0.1386
18.940,0.7843,0.3555,0.1389
18.960,0.7807,0.3540,0.1391
18.980,0.7799,0.3811,0.1392
19.000,0.7830,0.3935,0.1395
19.020,0.7749,0.3926,0.1397
19.040,0.7755,0.3914,0.1398
19.060,0.7743,0.3933,0.1399
19.080,0.7624,0.3981,0.1401
19.100,0.7784,0.3793,0.1403
19.120,0.7850,0.3943,0.1407
19.140,0.7890,0.3966,0.1408
19.160,0.8001,0.4153,0.1410
19.180,0.8044,0.4222,0.1413
19.200,0.8146,0.4181,0.1416
19.220,0.8101,0.4176,0.1418
19.240,0.8109,0.4240,0.1421
19.260,0.8120,0.4182,0.1422
19.280,0.8127,0.4118,0.1425
19.300,0.8199,0.4103,0.1426
19.320,0.8242,0.4113,0.1430
19.340,0.8244,0.4147,0.1431
19.360,0.8338,0.4131,0.1433
19.380,0.8317,0.4310,0.1433
19.400,0.8366,0.4277,0.1434
19.420,0.8413,0.4239,0.1436
19.440,0.8429,0.4248,0.1437
19.460,0.8496,0.4137,0.1438
19.480,0.8521,0.4187,0.1441
19.500,0.8558,0.4176,0.1444
19.520,0.8529,0.4174,0.1447
19.540,0.8544,0.4154,0.1450
19.560,0.8533,0.4213,0.1454
19.580,0.8484,0.4333,0.1457
19.600,0.8521,0.4412,0.1458
19.620,0.8552,0.4359,0.1462
19.640,0.8580,0.4305,0.1465
19.660,0.8707,0.4204,0.1468
19.680,0.8742,0.4279,0.1469
19.700,0.8799,0.4200,0.1472
19.720,0.8920,0.4211,0.1474
19.740,0.8837,0.4385,0.1475
19.760,0.8869,0.4276,0.1476
19.780,0.8872,0.4308,0.1480
19.800,0.8981,0.4392,0.1483
19.820,0.8899,0.4479,0.1485
19.840,0.8921,0.4415,0.1486
19.860,0.9072,0.4231,0.1489
19.880,0.8999,0.4321,0.1490
19.900,0.9041,0.4393,0.1493
19.920,0.9037,0.4426,0.1493
19.940,0.9025,0.4442,0.1494
19.960,0.9056,0.4443,0.1496
19.980,0.9125,0.4515,0.1499
20.000,0.9131,0.4499,0.1501
20.020,0.9161,0.4366,0.1502
20.040,0.9153,0.4350,0.1504
20.060,0.9170,0.4428,0.1508
20.080,0.9265,0.4529,0.1511
20.100,0.9276,0.4547,0.1513
20.120,0.9211,0.4576,0.1513
20.140,0.9302,0.4551,0.1515
20.160,0.9329,0.4542,0.1518
20.180,0.9364,0.4405,0.1521
20.200,0.9340,0.4465,0.1523
20.220,0.9310,0.4454,0.1525
20.240,0.9428,0.4465,0.1529
20.260,0.9477,0.4521,0.1531
20.280,0.9455,0.4523,0.1536
20.300,0.9567,0.4531,0.1538
20.320,0.9607,0.4422,0.1539
20.340,0.9560,0.4541,0.1540
20.360,0.9684,0.4593,0.1543
20.380,0.9625,0.4631,0.1545
20.400,0.9666,0.4531,0.1547
20.420,0.9641,0.4576,0.1548
20.440,0.9662,0.4671,0.1550
20.460,0.9743,0.4572,0.1552
20.480,0.9784,0.4504,0.1556
20.500,0.9786,0.4572,0.1561
20.520,0.9803,0.4629,0.1562
20.540,0.9814,0.4643,0.1564
20.560,0.9825,0.4689,0.1563
20.580,0.9844,0.4635,0.1565
20.600,0.9907,0.4736,0.1566
20.620,0.9973,0.4761,0.1566
20.640,1.0027,0.4773,0.1570
20.660,0.9985,0.4745,0.1572
20.680,0.9989,0.4796,0.1571
20.700,0.9942,0.4868,0.1573
20.720,1.0083,0.4739,0.1575
20.740,1.0116,0.4789,0.1577
20.760,1.0215,0.4651,0.1578
20.780,1.0186,0.4751,0.1579
20.800,1.0284,0.4957,0.1581
20.820,1.0263,0.4978,0.1584
20.840,1.0251,0.5175,0.1587
20.860,1.0268,0.4885,0.1590
