filter,RMSE,MAE,MaxErr,FinalErr,HeadingRMSE_deg,CovTrace/ESS,UpdateMs
KF,0.30990,0.25162,0.73905,0.24369,13.494,0.38039 (cov_trace),N/A
EKF,0.59812,0.51263,1.19147,0.61784,23.459,0.45732 (cov_trace),N/A
PF,0.40777,0.30144,1.08052,0.63982,32.509,500.0 / 4709 (ESS/N),0.0667
