filter,RMSE,MAE,MaxErr,FinalErr,HeadingRMSE_deg,CovTrace/ESS,UpdateMs
KF,0.30063,0.24073,0.77670,0.77460,6.771,0.20299 (cov_trace),N/A
EKF,0.09481,0.07609,0.30206,0.20672,2.568,0.20515 (cov_trace),N/A
PF,0.68891,0.68461,0.88650,0.88650,8.129,500.0 / 930 (ESS/N),0.1378
