filter,RMSE,MAE,MaxErr,FinalErr,HeadingRMSE_deg,CovTrace/ESS,UpdateMs
KF,0.30029,0.23814,0.72493,0.72141,6.956,0.20016 (cov_trace),N/A
EKF,0.09837,0.07645,0.32581,0.23583,2.570,0.20572 (cov_trace),N/A
PF,0.02721,0.02418,0.05075,0.01574,1.305,500.0 / 994 (ESS/N),0.1182
