filter,RMSE,MAE,MaxErr,FinalErr,HeadingRMSE_deg,CovTrace/ESS,UpdateMs
KF,0.36284,0.28080,0.83992,0.83827,8.423,0.20097 (cov_trace),N/A
EKF,0.10084,0.08235,0.34215,0.08953,2.231,0.21311 (cov_trace),N/A
PF,0.82670,0.82550,0.93330,0.93330,7.536,500.0 / 866 (ESS/N),0.1734
